Tile    Input   Name    Y(m)    X(m)
1	1	61	5.33	6.93
1	2	63	3.23	7.54
1	3	64	1.38	7.32
1	4	83	1.16	5.77
1	5	84	3.58	4.68
1	6	85	6.43	4.56
1	7	86	7.29	5.88
1	8	97	6.88	3.06
1	9	98	5.03	3.93
1	10	99	1.77	2.73
1	11	120	1.83	0.48
1	12	121	3.19	1.16
1	13	122	4.6	1.86
1	14	123	6.56	0.98
1	15	124	8.99	1.51
1	16	136	3.51	-0.39
2	1	134	8.84	-0.55
2	2	135	6.97	-1.16
2	3	152	1.09	-3.02
2	4	153	3.92	-3.05
2	5	154	5.94	-4.3
2	6	155	5.96	-2.29
2	7	156	8.96	-2.85
2	8	167	8.74	-5.73
2	9	168	2.85	-4.73
2	10	169	0.35	-6.29
2	11	186	2.73	-7.24
2	12	187	5.82	-7.58
2	13	188	7.16	-7.25
2	14	199	6.78	-8.98
2	15	200	4.81	-9.97
2	16	201	3.26	-9.25
3	1	118	-4.6	0.09
3	2	137	-1.62	-1.1
3	3	138	-5.17	-1.66
3	4	147	-8.31	-2.29
3	5	148	-8.27	-4.24
3	6	149	-6.23	-3.13
3	7	150	-3.42	-2.62
3	8	151	-1.47	-3.44
3	9	170	-0.88	-5.15
3	10	171	-3.56	-6.22
3	11	172	-5.18	-5.1
3	12	183	-5.58	-7.42
3	13	184	-2.01	-6.92
3	14	185	-0.86	-8.02
3	15	203	-1.97	-9.88
3	16	204	-4.4	-8.85
4	1	65	-1.12	7.47
4	2	66	-2.94	7.13
4	3	79	-7.33	5.32
4	4	80	-5.78	5.7
4	5	81	-1.98	5.34
4	6	82	-0.14	4.73
4	7	100	-0.71	2.35
4	8	101	-2.62	2.61
4	9	102	-4.44	3.18
4	10	103	-6.33	2.59
4	11	104	-7.98	2.81
4	12	105	-9.54	2.98
4	13	116	-8.38	0.13
4	14	117	-5.93	1.06
4	15	119	-2.79	0.93
4	16	139	-7.01	-1.04
5	1	6	8.85	15.75
5	2	7	6.68	15.85
5	3	8	5.18	16.94
5	4	21	2.45	13.12
5	5	23	5.22	14.81
5	6	24	8.91	13.8
5	7	25	11.7	14.9
5	8	26	12.87	13.01
5	9	29	9.68	12.24
5	10	30	7.21	12.12
5	11	31	4.93	12.18
5	12	32	3.8	11.05
5	13	51	5.75	9.82
5	14	52	7.1	8.92
5	15	53	7.71	10.67
5	16	62	5.12	8.67
6	1	27	14.23	12.4
6	2	28	13.16	11.27
6	3	54	9.99	9.51
6	4	55	11.49	10.77
6	5	56	13.22	9.34
6	6	57	14.91	9.24
6	7	58	17.3	7.51
6	8	59	10.76	6.66
6	9	60	8	7.29
6	10	87	8.96	5.48
6	11	88	11.81	5.15
6	12	89	13.1	6.46
6	13	90	15.42	4.42
6	14	91	15.8	6.17
6	15	95	10.97	3.32
6	16	96	9.27	3.56
7	1	92	18.4	4.68
7	2	93	16.54	2.69
7	3	94	13.93	3.15
7	4	125	10.24	0.63
7	5	126	12.75	1.54
7	6	127	13.52	-0.4
7	7	128	14.66	1.41
7	8	129	18.25	1.77
7	9	130	17.36	-0.34
7	10	131	14.81	-0.82
7	11	132	11.66	-0.26
7	12	133	10.39	-1.06
7	13	159	14.2	-2.32
7	14	160	15.39	-3.95
7	15	161	16.5	-2.39
7	16	162	18.75	-3.09
8	1	157	11.5	-2.21
8	2	158	13.04	-3.46
8	3	163	17.27	-5.12
8	4	164	13.41	-5.92
8	5	165	11.55	-5.81
8	6	166	10.11	-4.83
8	7	189	10.05	-7.08
8	8	190	11.2	-8.15
8	9	191	14.91	-7.34
8	10	192	16.19	-8.49
8	11	193	13.98	-10.51
8	12	194	12.63	-8.99
8	13	195	11.08	-9.95
8	14	196	9.58	-10.68
8	15	197	8.75	-8.81
8	16	223	12.2	-12.11
9	1	198	7.88	-10.16
9	2	220	4.12	-12.85
9	3	221	6.51	-11.69
9	4	222	10.73	-11.69
9	5	224	13.31	-13.2
9	6	225	12.21	-14.41
9	7	226	10.52	-13.48
9	8	227	8.74	-13.04
9	9	228	4.97	-14.06
9	10	246	2.96	-16.93
9	11	247	4.29	-16.08
9	12	248	5.57	-17.09
9	13	249	6.96	-15.4
9	14	250	10.18	-16.04
9	15	251	7.53	-17.32
9	16	252	3.36	-18.67
10	1	202	0.98	-9.99
10	2	217	-2.34	-12.06
10	3	218	1.14	-11.87
10	4	219	3.16	-11.36
10	5	229	3	-13.96
10	6	230	0.67	-14.69
10	7	231	-0.8	-13.34
10	8	240	-4.98	-16.34
10	9	241	-3.67	-15.3
10	10	242	-2.21	-16.83
10	11	243	-1.53	-15.17
10	12	244	-0.45	-16.44
10	13	245	1.41	-16.73
10	14	253	1.41	-18.51
10	15	254	-0.33	-18.26
10	16	255	-3.38	-17.35
11	1	205	-6.05	-9.02
11	2	206	-8.25	-9.58
11	3	212	-11.58	-12.62
11	4	213	-9.75	-11.63
11	5	214	-7.5	-11.46
11	6	215	-5.93	-12.82
11	7	216	-3.92	-10.83
11	8	232	-4.73	-14.07
11	9	233	-7.77	-13.89
11	10	234	-9.42	-13.55
11	11	235	-11.48	-15
11	12	236	-13.48	-13.29
11	13	237	-9.65	-15.31
11	14	238	-8.25	-15.93
11	15	239	-6.33	-15.25
11	16	256	-6.37	-17.6
12	1	140	-10.78	-1.54
12	2	145	-11.9	-3.32
12	3	146	-9.8	-2.68
12	4	173	-9.79	-4.83
12	5	174	-12.34	-5.21
12	6	175	-13.84	-5.93
12	7	178	-16.38	-6.96
12	8	179	-15.59	-8.41
12	9	180	-12.75	-7.34
12	10	181	-10.5	-8.06
12	11	182	-9.72	-6.47
12	12	207	-10	-10.03
12	13	208	-11.66	-9.46
12	14	209	-13.89	-9.72
12	15	210	-14.73	-10.97
12	16	211	-12.58	-11.04
13	1	73	-18.18	5
13	2	107	-15.54	3.12
13	3	108	-17.16	2.88
13	4	109	-18.63	3.05
13	5	110	-18.92	1.36
13	6	111	-16.96	0.55
13	7	112	-15	1.53
13	8	113	-14.56	0.06
13	9	114	-12.33	0.33
13	10	115	-12.12	2.05
13	11	141	-18.37	-1.56
13	12	142	-16.85	-3.01
13	13	143	-15.11	-2.5
13	14	144	-13.68	-3.74
13	15	176	-15.06	-4.46
13	16	177	-17.66	-4.46
14	1	40	-13.44	10.89
14	2	41	-15.76	10.45
14	3	42	-13.48	9.11
14	4	43	-11.68	10.17
14	5	45	-9	9.06
14	6	68	-8.88	6.6
14	7	69	-10.64	8.6
14	8	70	-12.19	8.33
14	9	71	-13.76	7.34
14	10	72	-15.93	8.02
14	11	74	-16.83	6.13
14	12	75	-14.29	4.39
14	13	76	-12.32	5.34
14	14	77	-10.64	5.57
14	15	78	-8.87	4.87
14	16	106	-12.86	3.91
15	1	1	-6.81	17.47
15	2	12	-5.51	15.27
15	3	13	-7.83	15.32
15	4	14	-11.93	13.27
15	5	15	-10.19	14.63
15	6	16	-7.77	13.53
15	7	17	-4.41	13.54
15	8	36	-2.29	12.04
15	9	37	-3.92	11.93
15	10	38	-7.02	11.82
15	11	39	-10.43	11.98
15	12	44	-10.11	10.46
15	13	46	-8.4	10.69
15	14	47	-4.96	8.83
15	15	48	-2.94	10.06
15	16	67	-6.17	7.89
16	1	2	-3.94	17.7
16	2	3	-1.21	18.89
16	3	4	1.02	18.11
16	4	5	3.28	17.92
16	5	9	-0.69	15.17
16	6	10	-1.99	16.19
16	7	11	-3.85	15.86
16	8	18	-1.98	13.65
